AttackAbilityName,"Урон"
AttackAbilityDescription,"Увеличивает урон героя на текущий уровень прокачки способности"
ArmorAbilityName,"Броня"
ArmorAbilityDescription,"Увеличивает броню героя на 3 вражеских атаки"
RegenAbilityName,"Регенерация"
RegenAbilityDescription,"Восстанавливает здоровье героя, в размере текущего уровня способности"
WoodHelmet,"Деревянный"
BronzeHelmet,"Бронзовый"
IronHelmet,"Железный"
WoodWeapon,"Деревянный"
BronzeWeapon,"Бронзовый"
IronWeapon,"Железный"
StandartLevelDescription,"Стандартный мод для выживания"
EndlessLevelDescription,"Мод бесконечные волны. Проверь свои навыки!"
HintsText,"Выберите игровой мод"
Desert,"Пустыня"
Cactus,"Кактус"
Forest,"Лес"
FlyAgaric,"Мухомор"
Cave,"Пещера"
Slime,"Слизь"
Wave,"Волна"
HealthPotion,"Зелье Исцеления"
WinText,"Победа"
LoseText,"Поражение"
LevelAvailable,"Завершите уровень {LevelToken}"
EquipmentAvailable,"Требуется уровень {LevelToken}"
Reward received,"Награда получена!"
Infinity,"Бесконечность"
Mine,"Мина"
Grenade,"Граната"
