AttackAbilityName,"Zarar"
AttackAbilityDescription,"Kahramanın hasarını mevcut beceri seviyesi kadar artırır"
ArmorAbilityName,"Zırh"
ArmorAbilityDescription,"Kahramanın zırhını 3 düşman saldırısı kadar artırır"
RegenAbilityName,"Rejenerasyon"
RegenAbilityDescription,"Mevcut yetenek seviyesi miktarında kahramanın sağlığını geri yükler"
WoodHelmet,"Odun"
BronzeHelmet,"Bronz"
IronHelmet,"Ütü"
WoodWeapon,"Odun"
BronzeWeapon,"Bronz"
IronWeapon,"Ütü"
StandartLevelDescription,"Standart Hayatta Kalma Modu"
EndlessLevelDescription,"Mod sonsuz dalgalar. Becerilerinizi test edin!"
HintsText,"Oyun modunu seçin"
Desert,"Çöl"
Cactus,"Kaktüs"
Forest,"Orman"
FlyAgaric,"Sinek mantarı"
Cave,"Mağara"
Slime,"Balçık"
Wave,"Dalga"
HealthPotion,"Şifa İksiri"
WinText,"Zafer"
LoseText,"Yenmek"
LevelAvailable,"Seviyeyi tamamla {LevelToken}"
EquipmentAvailable,"Gerekli seviye {LevelToken}"
Reward received,"Ödül alındı!"
Infinity,"Sonsuzluk"
Mine,"Bana ait"
Grenade,"El bombası"
AttentionObjects,"Dikkat! Seviye tamamlandıktan sonra tüm öğeler ve yetenekler kaybolur"
AttentionAbility,"Dikkat! Yeteneklerden birini seçin"
Begin,"Başlamak"
End,"Tamamlamak"
Greetings,"Arayüze bir göz atalım"
LevelStats,"Bu pencere seviyenin ve düşmanların adlarını gösterir"
WavePanel,"Üst panel dalga numarasını ve öldürme sayısını gösterir"
ShopButton,"Mevcut altın miktarının belirtildiği mağazaya gitme düğmesi"
PauseButton,"Duraklatıldığında dili ve sesi değiştirebilirsiniz"
PlayerStats,"Karakterin mevcut zırhı ve hasar göstergeleri"
SensorButton,"Karakter kontrol düğmelerine dokunun"
ShopPanel,"Burada karakteriniz için ekipman, sarf malzemeleri ve beceriler satın alırsınız"
TopElements,"Mağazanın üst kısmında karakterin altınları ve beceri puanları bulunur"
WeaponButton,"Bir silah satın aldıktan sonra onu donatmanız gerekir
Karakter seviyeniz arttıkça yeni silahların kilidi açılacaktır"
ArmorButton,"Zırh satın aldıktan sonra onu donatmanız gerekir
Karakter seviyeniz arttıkça yeni zırhın kilidi açılacaktır"
ConsumablesButton,"İstenilen miktarda satın alınabilir"
AbilityButton,"Karakter beceri puanları kullanılarak satın alındı ​​ve yükseltildi
Her seviye 1 beceri puanı verir"
BottomElements,"Alt panel oynatıcı için önemli bilgiler içerir"
EndDescription,"Eğitimi tamamladınız
İyi oyunlar!"
GreetingsTitle,"Selamlar!"
LevelStatsTitle,"Seviye parametreleri"
WavePanelTitle,"Oyun İstatistikleri"
ShopButtonTitle,"Mağaza Düğmesi"
PauseButtonTitle,"Duraklat düğmesi"
PlayerStatsTitle,"Karakter istatistikleri"
SensorButtonTitle,"Oyun Düğmeleri"
ShopPanelTitle,"Mağaza"
TopElementsTitle,"Oyuncu Kaynakları"
WeaponButtonTitle,"Silah"
ArmorButtonTitle,"Zırh"
ConsumablesButtonTitle,"Sarf Malzemeleri"
AbilityButtonTitle,"Yetenekler"
BottomElementsTitle,"Önemli bilgi"
EndDescriptionTitle,"Tebrikler"
